name,time,flow_in,flow_out,pressure_in,pressure_out
branch1_seg0,9.0000000000000002e-01,5.1318341623637900e+02,5.1318341623637900e+02,1.8953650584271636e+04,1.8953650584271636e+04
branch2_seg0,0.0000000000000000e+00,2.5454157695649587e+02,2.5454157695649587e+02,1.6608944592002390e+04,1.6608944592002390e+04
branch2_seg0,1.1249999999999993e-01,2.5454157695580133e+02,2.5454157695580133e+02,1.6608944591957075e+04,1.6608944591957075e+04
branch2_seg0,2.2499999999999998e-01,2.5454157695614856e+02,2.5454157695614856e+02,1.6608944591979733e+04,1.6608944591979733e+04
branch2_seg0,3.3750000000000002e-01,2.5454157695614856e+02,2.5454157695614856e+02,1.6608944591979733e+04,1.6608944591979733e+04
branch2_seg0,4.5000000000000007e-01,2.5454157695614856e+02,2.5454157695614856e+02,1.6608944591979733e+04,1.6608944591979733e+04
branch2_seg0,5.6250000000000011e-01,2.5454157695614856e+02,2.5454157695614856e+02,1.6608944591979733e+04,1.6608944591979733e+04
branch2_seg0,6.7499999999999993e-01,2.5454157695614856e+02,2.5454157695614856e+02,1.6608944591979733e+04,1.6608944591979733e+04
branch2_seg0,7.8749999999999998e-01,2.5454157695614856e+02,2.5454157695614856e+02,1.6608944591979733e+04,1.6608944591979733e+04
branch2_seg0,9.0000000000000002e-01,2.5454157695614856e+02,2.5454157695614856e+02,1.6608944591979733e+04,1.6608944591979733e+04
branch3_seg0,0.0000000000000000e+00,1.9440588061333415e+02,1.9440588061333415e+02,1.3286589769952199e+04,1.3286589769952199e+04
branch3_seg0,1.1249999999999993e-01,1.9440588061280371e+02,1.9440588061280371e+02,1.3286589769915945e+04,1.3286589769915945e+04
branch3_seg0,2.2499999999999998e-01,1.9440588061306892e+02,1.9440588061306892e+02,1.3286589769934069e+04,1.3286589769934069e+04
branch3_seg0,3.3750000000000002e-01,1.9440588061306892e+02,1.9440588061306892e+02,1.3286589769934069e+04,1.3286589769934069e+04
branch3_seg0,4.5000000000000007e-01,1.9440588061306892e+02,1.9440588061306892e+02,1.3286589769934069e+04,1.3286589769934069e+04
branch3_seg0,5.6250000000000011e-01,1.9440588061306892e+02,1.9440588061306892e+02,1.3286589769934069e+04,1.3286589769934069e+04
branch3_seg0,6.7499999999999993e-01,1.9440588061306892e+02,1.9440588061306892e+02,1.3286589769934069e+04,1.3286589769934069e+04
branch3_seg0,7.8749999999999998e-01,1.9440588061306892e+02,1.9440588061306892e+02,1.3286589769934069e+04,1.3286589769934069e+04
branch3_seg0,9.0000000000000002e-01,1.9440588061306892e+02,1.9440588061306892e+02,1.3286589769934069e+04,1.3286589769934069e+04
branch4_seg0,0.0000000000000000e+00,1.1359337860603223e+02,1.1359337860603223e+02,6.9928083869873444e+03,6.9928083869873444e+03
branch4_seg0,1.1249999999999993e-01,1.1359337860572228e+02,1.1359337860572228e+02,6.9928083869682641e+03,6.9928083869682641e+03
branch4_seg0,2.2499999999999998e-01,1.1359337860587725e+02,1.1359337860587725e+02,6.9928083869778038e+03,6.9928083869778038e+03
branch4_seg0,3.3750000000000002e-01,1.1359337860587725e+02,1.1359337860587725e+02,6.9928083869778038e+03,6.9928083869778038e+03
branch4_seg0,4.5000000000000007e-01,1.1359337860587725e+02,1.1359337860587725e+02,6.9928083869778038e+03,6.9928083869778038e+03
branch4_seg0,5.6250000000000011e-01,1.1359337860587725e+02,1.1359337860587725e+02,6.9928083869778038e+03,6.9928083869778038e+03
branch4_seg0,6.7499999999999993e-01,1.1359337860587725e+02,1.1359337860587725e+02,6.9928083869778038e+03,6.9928083869778038e+03
branch4_seg0,7.8749999999999998e-01,1.1359337860587725e+02,1.1359337860587725e+02,6.9928083869778038e+03,6.9928083869778038e+03
branch4_seg0,9.0000000000000002e-01,1.1359337860587725e+02,1.1359337860587725e+02,6.9928083869778038e+03,6.9928083869778038e+03
branch5_seg0,0.0000000000000000e+00,1.3281658376409604e+02,1.3281658376409604e+02,1.9127836726579273e+04,1.9127836726579273e+04
branch5_seg0,1.1249999999999993e-01,1.3281658376373369e+02,1.3281658376373369e+02,1.9127836726527086e+04,1.9127836726527086e+04
branch5_seg0,2.2499999999999998e-01,1.3281658376391485e+02,1.3281658376391485e+02,1.9127836726553174e+04,1.9127836726553174e+04
branch5_seg0,3.3750000000000002e-01,1.3281658376391485e+02,1.3281658376391485e+02,1.9127836726553174e+04,1.9127836726553174e+04
branch5_seg0,4.5000000000000007e-01,1.3281658376391485e+02,1.3281658376391485e+02,1.9127836726553174e+04,1.9127836726553174e+04
branch5_seg0,5.6250000000000011e-01,1.3281658376391485e+02,1.3281658376391485e+02,1.9127836726553174e+04,1.9127836726553174e+04
